17:12:39.998519 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33950432, win 1015, options [nop,nop,TS val 2945756958 ecr 1064562303], length 0
17:12:39.998904 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33952080, win 1015, options [nop,nop,TS val 2945756958 ecr 1064562303], length 0
17:12:39.999296 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33953680, win 1015, options [nop,nop,TS val 2945756958 ecr 1064562303], length 0
17:12:39.999391 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33955216, win 1015, options [nop,nop,TS val 2945756959 ecr 1064562304], length 0
17:12:39.999525 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33956816, win 1015, options [nop,nop,TS val 2945756959 ecr 1064562304], length 0
17:12:39.999762 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33958416, win 1015, options [nop,nop,TS val 2945756959 ecr 1064562304], length 0
17:12:40.000059 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33960016, win 1015, options [nop,nop,TS val 2945756959 ecr 1064562304], length 0
17:12:40.000196 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33961616, win 1015, options [nop,nop,TS val 2945756959 ecr 1064562304], length 0
17:12:40.000415 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33963200, win 1015, options [nop,nop,TS val 2945756960 ecr 1064562305], length 0
17:12:40.000624 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33964800, win 1015, options [nop,nop,TS val 2945756960 ecr 1064562305], length 0
17:12:40.000858 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33966400, win 1015, options [nop,nop,TS val 2945756960 ecr 1064562305], length 0
17:12:40.001079 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33968000, win 1015, options [nop,nop,TS val 2945756960 ecr 1064562305], length 0
17:12:40.001300 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33969600, win 1015, options [nop,nop,TS val 2945756960 ecr 1064562306], length 0
17:12:40.001561 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33971200, win 1015, options [nop,nop,TS val 2945756961 ecr 1064562306], length 0
17:12:40.001852 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33972800, win 1015, options [nop,nop,TS val 2945756961 ecr 1064562306], length 0
17:12:40.002085 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33974400, win 1015, options [nop,nop,TS val 2945756961 ecr 1064562306], length 0
17:12:40.002288 IP 162.243.188.66.54220 > 159.203.56.154.22: Flags [.], ack 33976000, win 1015, options [nop
